filename,param_count,run,compilation_time,job_id,node
0-param.sac,0,1,.457085314,6476159,cn132
0-param.sac,0,2,.428682299,6476159,cn132
0-param.sac,0,3,.411224146,6476159,cn132
0-param.sac,0,4,.412959752,6476159,cn132
0-param.sac,0,5,.418660007,6476159,cn132
0-param.sac,0,6,.419069435,6476159,cn132
0-param.sac,0,7,.429364439,6476159,cn132
0-param.sac,0,8,.419730755,6476159,cn132
0-param.sac,0,9,.432877218,6476159,cn132
0-param.sac,0,10,.418060692,6476159,cn132
1-param.sac,1,1,.538053926,6476160,cn132
1-param.sac,1,2,.482312141,6476160,cn132
1-param.sac,1,3,.474139048,6476160,cn132
1-param.sac,1,4,.479145520,6476160,cn132
1-param.sac,1,5,.479860742,6476160,cn132
1-param.sac,1,6,.399909560,6476160,cn132
1-param.sac,1,7,.486148980,6476160,cn132
1-param.sac,1,8,.331317377,6476160,cn132
1-param.sac,1,9,.488600448,6476160,cn132
1-param.sac,1,10,.473100479,6476160,cn132
2-param.sac,2,1,.441444902,6476161,cn132
2-param.sac,2,2,.446926817,6476161,cn132
2-param.sac,2,3,.438408145,6476161,cn132
2-param.sac,2,4,.469626502,6476161,cn132
2-param.sac,2,5,.447913368,6476161,cn132
2-param.sac,2,6,.455214204,6476161,cn132
2-param.sac,2,7,.443943249,6476161,cn132
2-param.sac,2,8,.445793180,6476161,cn132
2-param.sac,2,9,.456800409,6476161,cn132
2-param.sac,2,10,.443569438,6476161,cn132
3-param.sac,3,1,.482376311,6476162,cn132
3-param.sac,3,2,.471359673,6476162,cn132
3-param.sac,3,3,.480831403,6476162,cn132
3-param.sac,3,4,.484927698,6476162,cn132
3-param.sac,3,5,.396914371,6476162,cn132
3-param.sac,3,6,.473898267,6476162,cn132
3-param.sac,3,7,.473151936,6476162,cn132
3-param.sac,3,8,.397776939,6476162,cn132
3-param.sac,3,9,.474675103,6476162,cn132
3-param.sac,3,10,.493246013,6476162,cn132
4-param.sac,4,1,.522814996,6476163,cn132
4-param.sac,4,2,.518382551,6476163,cn132
4-param.sac,4,3,.522440644,6476163,cn132
4-param.sac,4,4,.514883106,6476163,cn132
4-param.sac,4,5,.515603327,6476163,cn132
4-param.sac,4,6,.526154692,6476163,cn132
4-param.sac,4,7,.513807658,6476163,cn132
4-param.sac,4,8,.515784337,6476163,cn132
4-param.sac,4,9,.448443892,6476163,cn132
4-param.sac,4,10,.521935115,6476163,cn132
5-param.sac,5,1,.707514592,6476164,cn132
5-param.sac,5,2,.712074717,6476164,cn132
5-param.sac,5,3,.716768362,6476164,cn132
5-param.sac,5,4,.710218635,6476164,cn132
5-param.sac,5,5,.714207067,6476164,cn132
5-param.sac,5,6,.646044831,6476164,cn132
5-param.sac,5,7,.698535276,6476164,cn132
5-param.sac,5,8,.708324621,6476164,cn132
5-param.sac,5,9,.700612924,6476164,cn132
5-param.sac,5,10,.644721319,6476164,cn132
6-param.sac,6,1,1.880163558,6476165,cn132
6-param.sac,6,2,1.805474307,6476165,cn132
6-param.sac,6,3,1.840175628,6476165,cn132
6-param.sac,6,4,1.801495783,6476165,cn132
6-param.sac,6,5,1.838131713,6476165,cn132
6-param.sac,6,6,1.792812402,6476165,cn132
6-param.sac,6,7,1.866259983,6476165,cn132
6-param.sac,6,8,1.790595383,6476165,cn132
6-param.sac,6,9,1.848812852,6476165,cn132
6-param.sac,6,10,1.838728563,6476165,cn132
7-param.sac,7,1,10.373445954,6476166,cn132
7-param.sac,7,2,10.783657732,6476166,cn132
7-param.sac,7,3,10.429512459,6476166,cn132
7-param.sac,7,4,10.516919829,6476166,cn132
7-param.sac,7,5,10.690139287,6476166,cn132
7-param.sac,7,6,10.388716623,6476166,cn132
7-param.sac,7,7,10.168609712,6476166,cn132
7-param.sac,7,8,10.541177908,6476166,cn132
7-param.sac,7,9,10.745172733,6476166,cn132
7-param.sac,7,10,10.453251414,6476166,cn132
8-param.sac,8,1,88.791354075,6476167,cn132
8-param.sac,8,2,89.207876394,6476167,cn132
8-param.sac,8,3,89.641372481,6476167,cn132
8-param.sac,8,4,89.115138535,6476167,cn132
8-param.sac,8,5,89.228752514,6476167,cn132
8-param.sac,8,6,88.488073267,6476167,cn132
8-param.sac,8,7,86.805794563,6476167,cn132
8-param.sac,8,8,86.875850157,6476167,cn132
8-param.sac,8,9,87.300892151,6476167,cn132
8-param.sac,8,10,90.045431700,6476167,cn132
