compiler,param_count,run,status,exit_code,compilation_time_seconds,peak_rss_kb,user_cpu_s,sys_cpu_s,job_id,array_task_id,node,started_at,finished_at,error_message
new,0,1,SUCCESS,0,0.598735,37104,0.45,0.09,1642446,0,cn99,2026-05-25T12:25:44+00:00,2026-05-25T12:25:50+00:00,
new,0,2,SUCCESS,0,0.556147,36932,0.44,0.08,1642446,0,cn99,2026-05-25T12:25:44+00:00,2026-05-25T12:25:50+00:00,
new,0,3,SUCCESS,0,0.563719,36928,0.46,0.07,1642446,0,cn99,2026-05-25T12:25:44+00:00,2026-05-25T12:25:50+00:00,
new,0,4,SUCCESS,0,0.559065,36992,0.44,0.09,1642446,0,cn99,2026-05-25T12:25:44+00:00,2026-05-25T12:25:50+00:00,
new,0,5,SUCCESS,0,0.561679,37088,0.46,0.07,1642446,0,cn99,2026-05-25T12:25:44+00:00,2026-05-25T12:25:50+00:00,
new,0,6,SUCCESS,0,0.568575,36904,0.44,0.1,1642446,0,cn99,2026-05-25T12:25:44+00:00,2026-05-25T12:25:50+00:00,
new,0,7,SUCCESS,0,0.562038,37064,0.46,0.07,1642446,0,cn99,2026-05-25T12:25:44+00:00,2026-05-25T12:25:50+00:00,
new,0,8,SUCCESS,0,0.559904,37008,0.45,0.08,1642446,0,cn99,2026-05-25T12:25:44+00:00,2026-05-25T12:25:50+00:00,
new,0,9,SUCCESS,0,0.556726,37032,0.45,0.08,1642446,0,cn99,2026-05-25T12:25:44+00:00,2026-05-25T12:25:50+00:00,
new,0,10,SUCCESS,0,0.562426,36888,0.46,0.07,1642446,0,cn99,2026-05-25T12:25:44+00:00,2026-05-25T12:25:50+00:00,
new,1,1,SUCCESS,0,0.664285,43348,0.51,0.09,1642446,1,cn99,2026-05-25T12:25:51+00:00,2026-05-25T12:25:58+00:00,
new,1,2,SUCCESS,0,0.628851,44184,0.51,0.09,1642446,1,cn99,2026-05-25T12:25:51+00:00,2026-05-25T12:25:58+00:00,
new,1,3,SUCCESS,0,0.624072,44036,0.51,0.09,1642446,1,cn99,2026-05-25T12:25:51+00:00,2026-05-25T12:25:58+00:00,
new,1,4,SUCCESS,0,0.630244,43820,0.51,0.09,1642446,1,cn99,2026-05-25T12:25:51+00:00,2026-05-25T12:25:58+00:00,
new,1,5,SUCCESS,0,0.62632,44068,0.5,0.1,1642446,1,cn99,2026-05-25T12:25:51+00:00,2026-05-25T12:25:58+00:00,
new,1,6,SUCCESS,0,0.629224,43876,0.51,0.09,1642446,1,cn99,2026-05-25T12:25:51+00:00,2026-05-25T12:25:58+00:00,
new,1,7,SUCCESS,0,0.634725,43980,0.51,0.1,1642446,1,cn99,2026-05-25T12:25:51+00:00,2026-05-25T12:25:58+00:00,
new,1,8,SUCCESS,0,0.635987,43932,0.5,0.1,1642446,1,cn99,2026-05-25T12:25:51+00:00,2026-05-25T12:25:58+00:00,
new,1,9,SUCCESS,0,0.624966,43960,0.5,0.1,1642446,1,cn99,2026-05-25T12:25:51+00:00,2026-05-25T12:25:58+00:00,
