filename,param_count,run,compilation_time,max_memory_kb,job_id,node
4-param.sac,4,1,.466660800,56748,7583230,cn132
4-param.sac,4,2,.455388807,56684,7583230,cn132
4-param.sac,4,3,.459836082,56648,7583230,cn132
4-param.sac,4,4,.461354879,56896,7583230,cn132
4-param.sac,4,5,.456260877,56808,7583230,cn132
4-param.sac,4,6,.455535221,56912,7583230,cn132
4-param.sac,4,7,.473058444,56832,7583230,cn132
4-param.sac,4,8,.458420890,56808,7583230,cn132
4-param.sac,4,9,.462520661,56980,7583230,cn132
4-param.sac,4,10,.457844886,56872,7583230,cn132
