filename,param_count,run,compilation_time,max_memory_kb,job_id,node
7-param.sac,7,1,10.287038915,507508,7583233,cn132
7-param.sac,7,2,10.280827695,507664,7583233,cn132
7-param.sac,7,3,10.275772623,507680,7583233,cn132
7-param.sac,7,4,10.312419623,507840,7583233,cn132
7-param.sac,7,5,10.156567658,507760,7583233,cn132
7-param.sac,7,6,10.214893091,507768,7583233,cn132
7-param.sac,7,7,10.172111228,507772,7583233,cn132
7-param.sac,7,8,10.195016749,507744,7583233,cn132
7-param.sac,7,9,10.349522984,507724,7583233,cn132
7-param.sac,7,10,10.329102601,507760,7583233,cn132
