filename,param_count,run,compilation_time,max_memory_kb,job_id,node
8-param.sac,8,1,87.886519194,1678000,7583234,cn132
8-param.sac,8,2,87.542051562,1678208,7583234,cn132
8-param.sac,8,3,86.866791908,1678048,7583234,cn132
8-param.sac,8,4,88.888730994,1678024,7583234,cn132
8-param.sac,8,5,86.222986458,1678024,7583234,cn132
8-param.sac,8,6,86.110944690,1677964,7583234,cn132
8-param.sac,8,7,88.469251503,1677976,7583234,cn132
8-param.sac,8,8,86.142105708,1678032,7583234,cn132
8-param.sac,8,9,86.347341326,1678056,7583234,cn132
8-param.sac,8,10,86.609808164,1678040,7583234,cn132
