filename,param_count,run,compilation_time,max_memory_kb,job_id,node
11-param.sac,11,1,.443929247,49264,7583217,cn132
11-param.sac,11,2,.442123049,49264,7583217,cn132
11-param.sac,11,3,.449472956,49300,7583217,cn132
11-param.sac,11,4,.450363681,49308,7583217,cn132
11-param.sac,11,5,.439576801,49292,7583217,cn132
11-param.sac,11,6,.446470057,49148,7583217,cn132
11-param.sac,11,7,.446896058,49092,7583217,cn132
11-param.sac,11,8,.447836366,48976,7583217,cn132
11-param.sac,11,9,.447254572,48976,7583217,cn132
11-param.sac,11,10,.449955812,49156,7583217,cn132
